lib_name,lib_code
B561.59其他,B561.59
B561.6二十一世纪哲学,B561.6
B561.7马克思主义哲学在英国的传播与发展,B561.7
B563荷兰哲学,B563
"B563.1斯宾诺莎(Spinoza,B.1632~1677年)",B563.1
"B563.2古林克斯(Geulincx,A.1625~1669年)",B563.2
B563.9其他,B563.9
B565法国哲学,B565
B565.2十七、十八世纪哲学,B565.2
"B565.21笛卡儿(Descartes,R.1596~1650年)",B565.21
"B565.22伽桑狄(Gassendi,P.1592~1655年)",B565.22
"B565.23帕斯卡(Pascal,B.1623~1662年)",B565.23
"B565.24孟德斯鸠(Montesquieu,C.L.de S.1689~1755年)",B565.24
"B565.25伏尔泰(Voltaire,1694~1778年)",B565.25
"B565.26卢梭(Rousseau,J.J.1712~1778年)",B565.26
"B565.27拉·美特利(La Mettrie,J.O.de 1709~1751年)",B565.27
"B565.28狄德罗(Diderot,D.1713~1784年)",B565.28
"B565.291爱尔维修(Helvétius,C.A.1715~1771年)",B565.291
"B565.292孔狄亚克(Condillac,E.B.de 1715~1780年)",B565.292
"B565.293达兰贝尔(D'Alembert,J.LeR.1717~1783年)",B565.293
"B565.294霍尔巴赫(Holbach,P.H.D.1723~1789年)",B565.294
B565.299其他,B565.299
B565.4十九世纪哲学,B565.4
"B565.41库然(Cousin,V.1792~1867年)",B565.41
"B565.42孔德(Comte,A.1798~1857年)",B565.42
B565.49其他,B565.49
B565.5二十世纪哲学,B565.5
"B565.51柏格森(Bergson,H.1859~1941年)",B565.51
"B565.52马利丹(Maritain,J.1882~1973年)",B565.52
"B565.53萨特尔(Sartre,J.P.1905~1980年)",B565.53
B565.59其他,B565.59
B565.6二十一世纪哲学,B565.6
B565.7马克思主义哲学在法国的传播与发展,B565.7
B6大洋洲哲学,B6
B7美洲哲学,B7
B71北美洲哲学,B71
B712美国哲学,B712
B712.3十八世纪~十九世纪前期哲学,B712.3
"B712.31富兰克林(Franklin,B.1706~1790年)",B712.31
"B712.32普利斯特莱(Priestley,J.1733~1804年)",B712.32
"B712.33库柏(Cooper,T.1759~1840年)",B712.33
B712.39其他,B712.39
B712.4十九世纪后期哲学,B712.4
"B712.41爱默生(Emerson,R.W.1803~1882年)",B712.41
"B712.42哈利斯(Harris,W.T.1835~1909年)",B712.42
"B712.43皮尔斯(Peirce,C.S.1839~1914年)",B712.43
"B712.44詹姆斯(James,W.1842~1910年)",B712.44
"B712.45波温(Bowne,B.P.1847~1910年)",B712.45
"B712.46罗伊斯(Royce,J.1855~1916年)",B712.46
B712.49其他,B712.49
B712.5二十世纪哲学,B712.5
"B712.51杜威(Dewey,J.1859~1952年)",B712.51
"B712.52桑塔亚那(Santayana,G.1863~1952年)",B712.52
B712.59其他,B712.59
B712.6二十一世纪哲学,B712.6
B712.7马克思主义哲学在美国的传播与发展,B712.7
B80思维科学,B80
B80-0思维科学理论与方法论,B80-0
B80-05思维科学与其他科学的关系,B80-05
B802思维规律,B802
B804思维方式,B804
B804.1抽象思维,B804.1
B804.2形象思维,B804.2
B804.3灵感思维,B804.3
B804.4创造性思维,B804.4
B81逻辑学(论理学),B81
B81-0逻辑学理论与方法论,B81-0
B81-05逻辑学与其他学科的关系,B81-05
B81-06逻辑学流派及其研究,B81-06
B81-09逻辑学史、逻辑思想史,B81-09
B81-092中国逻辑学史,B81-092
B81-093.51印度因明学史,B81-093.51
B81-093.71阿拉伯逻辑学史,B81-093.71
B81-095西方逻辑学史,B81-095
B811辩证逻辑,B811
B811.0基础理论,B811.0
B811.01黑格尔的逻辑,B811.01
B811.02马克思主义的辩证逻辑,B811.02
B811.04客观与主观逻辑,B811.04
B811.05知性与理性逻辑,B811.05
B811.07辩证思维,B811.07
B811.1基本规律,B811.1
B811.2思维形式与方法,B811.2
B811.21概念、范畴,B811.21
B811.22辩证判断,B811.22
B811.23辩证推理,B811.23
B811.24辩证思维方法,B811.24
B812形式逻辑(名学、辩学),B812
B812.1基本规律,B812.1
B812.2思维形式和方法,B812.2
B812.21概念、范畴,B812.21
B812.22判断、命题,B812.22
B812.23演绎推理、三段论推理,B812.23
B812.3归纳推理（归纳法）,B812.3
B812.4论证与反驳,B812.4
B812.5谬误与诡辩,B812.5
B813数理逻辑(符号逻辑),B813
B814概率逻辑,B814
B815哲理逻辑(非经典逻辑),B815
B815.1模态逻辑,B815.1
B815.2多值逻辑,B815.2
B815.3认知逻辑,B815.3
B815.4价值逻辑,B815.4
B815.5时态逻辑,B815.5
B815.6模糊逻辑,B815.6
B815.7相干与衍推逻辑,B815.7
B815.8自由逻辑,B815.8
B815.9其他,B815.9
B819应用逻辑,B819
B82伦理学(道德哲学),B82
B82-0伦理学理论与方法论,B82-0
B82-02伦理学的哲学基础,B82-02
B82-05伦理学与其他科学的关系,B82-05
B82-051道德与政治、道德与法制,B82-051
B82-052道德与社会,B82-052
B82-053道德与经济,B82-053
B82-054道德与心理,B82-054
B82-054.9道德与美学,B82-054.9
B82-055道德与宗教,B82-055
B82-055.9道德与语言,B82-055.9
B82-056道德与文艺,B82-056
B82-057道德与科学技术,B82-057
B82-058道德与环境,B82-058
B82-059其他,B82-059
